SMILES,pKa_num,pKa_value
OC(=O)CC(O)=O,2,"[2.665, 5.33]"
OC(=O)CN(CC(O)=O)c1ccc(c2ccccc12)[S](O)(=O)=O,2,"[2.76, 3.92]"
CCCCO[P]([O-])(=O)O[P](O)(O)=O,2,"[1.3, 6.65]"
Oc1ccc(c2cccnc12)[S](O)(=O)=O,2,"[3.9, 8.37]"
Oc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2,"[3.38, 9.8]"
Oc1ccc(Br)cc1O,2,"[8.37, 11.32]"
Oc1c(Br)cc(Br)c2cccnc12,2,"[2.6, 7.3]"
Oc1c(I)cc(I)c2cccnc12,2,"[2.7, 8.0]"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)N=O,2,"[1.81, 5.52]"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,2,"[1.72, 5.34]"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,2,"[3.8, 7.78]"
[nH]1cnc2ncncc12,2,"[2.41, 8.66]"
[nH]1cncn1,2,"[2.38, 9.82]"
c1cc(ccn1)C=Cc2ccncc2,2,"[4.41, 5.65]"
c1ccc(C=Cc2ccccn2)nc1,2,"[2.81, 4.95]"
[O-][NH+]1CCCNCCNC(=O)C(CCc2ccccn2)C(=O)NCC1,2,"[5.22, 9.33]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(O)=O,2,"[3.13, 7.82]"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(O)=O,2,"[3.26, 7.94]"
Oc1ccccc1O,2,"[9.26, 13.3]"
C1CNCCN1,2,"[5.64, 9.74]"
C1CNCCNCCC(NCCNC1)c2ccccc2,2,"[10.06, 10.7]"
[Na+].[Na+].Oc1cc(cc(c1O)[S]([O-])(=O)=O)[S]([O-])(=O)=O,2,"[7.62, 12.5]"
CC(=C/C(O)=O)/C(O)=O,2,"[2.2, 5.6]"
CC(=NO)c1ccccn1,2,"[3.97, 10.87]"
C1CNCCNCCN1,2,"[6.81, 10.44]"
c1ccc(nc1)c2nc(nc(n2)c3ccccn3)c4ccccn4,2,"[2.73, 3.53]"
c1cnc2c(c1)ccc3ncccc23,2,"[1.8, 4.92]"
C[C@H](NC(=O)CN)C(=O)NCC(O)=O,2,"[3.34, 7.96]"
CC(=O)CC(C)(C)NCCNC(C)(C)CC(C)=O,2,"[6.19, 9.41]"
CC(=O)CN(CC(O)=O)CC(O)=O,2,"[2.62, 7.71]"
c1ccc(nc1)c2ccccn2,2,"[1.3, 4.41]"
