Ligand,Name
"3-(Carboxymethyl)-2-oxo-1,4-diazacyclohexane-1-butanedioic acid (Cyclic-EDDS)",Cyclic-EDDS
Ethylenediiminodipropanedioic acid (EDDM),EDDM
Ethylenediiminodibutanedioic acid (EDDS),EDDS
Ethylenediiminodi-2-pentanedioic acid (EDDG),EDDG
"meso-(1,2-Dimethylethylene)diiminodipropanedioic acid","meso-(1,2-Dimethylethylene)diiminodipropanedioic acid"
"meso-(1,2-Dimethylethylene)diiminodibutanedioic acid","meso-(1,2-Dimethylethylene)diiminodibutanedioic acid"
"trans-1,2-Cyclohexylenediiminodipropanedioic acid","trans-1,2-Cyclohexylenediiminodipropanedioic acid"
"trans-1,2-Cyclohexylenediiminodibutanedioic acid","trans-1,2-Cyclohexylenediiminodibutanedioic acid"
DL-Trimethylenediiminodibutanedioic acid,DL-Trimethylenediiminodibutanedioic acid
"cis-1,4-Cyclohexylenediiminodipropanedioic acid","cis-1,4-Cyclohexylenediiminodipropanedioic acid"
"trans-1,4-Cyclohexylenediiminodipropanedioic acid","trans-1,4-Cyclohexylenediiminodipropanedioic acid"
"DL-2,3-Diaminopropanoic-N,N'-dipropanedioic acid","DL-2,3-Diaminopropanoic-N,N'-dipropanedioic acid"
"N,N'-Bis(2-hydroxyphenyl)ethylenediiminodiacetic acid (HPED)",HPED
rac-Ethylenediiminobis[(2-hydroxyphenyl)acetic acid] (EHPG),EHPG
meso-Ethylenediiminobis[(2-hydroxyphenyl)acetic acid] (EHPG),EHPG
"rac-Trimethylenebis[2-(2-hydroxy-3,5-dimethylphenyl)glycine] (rac-TMPHPG)",rac-TMPHPG
"meso-Trimethylenebis[2-(2-hydroxy-3,5-dimethylphenyl)glycine] (meso-TMPHPG)",meso-TMPHPG
Ethylenediiminobis(3-hydroxy-2-propanoic acid) (rac- or meso-isomer not stated),rac- or meso-isomer not stated
Ethylenediiminobis(4-hydroxy-2-butanoic acid) (rac- or meso-isomer not stated),rac- or meso-isomer not stated
"2-Hydroxy-1,3-propylenediiminodipropanedioic acid","2-Hydroxy-1,3-propylenediiminodipropanedioic acid"
"2-Hydroxy-1,3-propylenediiminodibutanedioic acid (rac- or meso-isomer not stated)",rac- or meso-isomer not stated
"6-Oxa-3,9-diazaundecanedioic acid [Oxybis(ethyleneiminoacetic acid)]","6-Oxa-3,9-diazaundecanedioic acid [Oxybis(ethyleneiminoacetic acid)]"
